Coindcx_name,Base_currency_short_name,Target_currency_short_name,Target_currency_name,Base_currency_name,Min_quantity,Max_quantity,Min_price,Max_price,Min_notional,Base_currency_precision,Target_currency_precision,Step,order_types,Symbol,Ecode,Max_leverage,Max_leverage_short,Pair,Status
EDUBTC,BTC,EDU,Open Campus,Bitcoin,1.0,92141578.0,1e-08,1000.0,0.001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",EDUBTC,B,,,B-EDU_BTC,active
CYBERETH,ETH,CYBER,CyberConnect,Ethereum,0.01,92141578.0,1e-06,1000.0,0.01,6,2,0.01,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",CYBERETH,B,,,B-CYBER_ETH,active
HIPUNKSUSDT,USDT,HIPUNKS,hiPUNKS,Tether,0.1,99999999.0,0.028043333333333333,0.25239,1e-06,5,4,0.0001,"['market_order', 'limit_order']",HIPUNKSUSDT,KC,,,KC-HIPUNKS_USDT,active
SOLVEUSDT,USDT,SOLVE,SOLVE,Tether,0.1,99999999.0,0.007486666666666667,0.06738,1e-06,5,4,0.0001,"['market_order', 'limit_order']",SOLVEUSDT,KC,,,KC-SOLVE_USDT,active
BWOUSDT,USDT,BWO,Battle World,Tether,0.01,8333333.0,0.012833333333333334,0.1155,10.0,4,4,0.0001,['limit_order'],BWOUSDT,H,,,H-BWO_USDT,active
TOMSUSDT,USDT,TOMS,TomTomCoin,Tether,1.0,103594737.0,0.000412666666666667,0.003714,10.0,6,4,0.0001,['limit_order'],TOMSUSDT,H,,,H-TOMS_USDT,active
SWEATUSDT,USDT,SWEAT,Sweat Economy,Tether,1.0,18532246.0,0.003279,0.029511,10.0,6,4,0.0001,['limit_order'],SWEATUSDT,H,,,H-SWEAT_USDT,active
EDUUSDT,USDT,EDU,Open Campus,Tether,1.0,92141578.0,1e-05,1000.0,10.0,5,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",EDUUSDT,B,,,B-EDU_USDT,active
HIBAKCUSDT,USDT,HIBAKC,hiBAKC,Tether,0.1,99999999.0,0.002754,0.024786,1e-07,6,4,0.0001,"['market_order', 'limit_order']",HIBAKCUSDT,KC,,,KC-HIBAKC_USDT,active
VOXELUSDT,USDT,VOXEL,Voxies,Tether,0.1,92141578.0,0.0001,1000.0,10.0,4,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",VOXELUSDT,B,,,B-VOXEL_USDT,active
KMDUSDT,USDT,KMD,Komodo,Tether,1.0,900000.0,0.0001,1000.0,10.0,4,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",KMDUSDT,B,,,B-KMD_USDT,active
ACSUSDT,USDT,ACS,Access Protocol,Tether,1.0,241662638.0,0.000759,0.006831,10.0,6,4,0.0001,['limit_order'],ACSUSDT,H,,,H-ACS_USDT,active
WAXLUSDT,USDT,WAXL,Axelar,Tether,0.1,99999999.0,0.13963333333333333,1.2567,1e-05,4,4,0.0001,"['market_order', 'limit_order']",WAXLUSDT,KC,,,KC-WAXL_USDT,active
WAVESUSDT,USDT,WAVES,Waves,Tether,0.01,90000.0,0.4232,10.58,10.0,3,2,0.01,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",WAVESUSDT,B,5.0,0.0,B-WAVES_USDT,active
WBTCBTC,BTC,WBTC,Wrapped Bitcoin,Bitcoin,1e-05,92141578.0,0.19992,4.998,0.0001,4,5,1e-05,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",WBTCBTC,B,4.0,0.0,B-WBTC_BTC,active
XRPBTC,BTC,XRP,Ripple,Bitcoin,1.0,90000000.0,3.394e-06,8.485e-05,0.0001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XRPBTC,B,15.0,0.0,B-XRP_BTC,active
JOYUSDT,USDT,JOY,Drawshop Kingdom Reverse,Tether,0.1,10000000.0,0.0117,0.1053,10.0,4,4,0.0001,['limit_order'],JOYUSDT,H,,,H-JOY_USDT,active
TPYUSDT,USDT,TPY,Thrupenny,Tether,0.1,1511265.0,0.22333333333333333,2.01,10.0,4,4,0.0001,['limit_order'],TPYUSDT,H,,,H-TPY_USDT,active
TOKEUSDT,USDT,TOKE,Tokemak,Tether,0.0001,87950.0,0.13863333333333333,1.2477,10.0,4,4,0.0001,['limit_order'],TOKEUSDT,H,,,H-TOKE_USDT,active
PYUSDUSDT,USDT,PYUSD,PayPal USD,Tether,0.1,1000000.0,0.3329666666666667,2.9967,10.0,4,4,0.0001,['limit_order'],PYUSDUSDT,H,,,H-PYUSD_USDT,active
PRISMAUSDT,USDT,PRISMA,Prisma Finance,Tether,0.1,5000000.0,0.2502333333333333,2.2521,10.0,4,4,0.0001,['limit_order'],PRISMAUSDT,H,,,H-PRISMA_USDT,active
NUMUSDT,USDT,NUM,Numbers Protocol,Tether,0.01,2832861.0,0.0077,0.0693,10.0,4,4,0.0001,['limit_order'],NUMUSDT,H,,,H-NUM_USDT,active
TCNHUSDT,USDT,TCNH,TrueCNH,Tether,0.1,6811989.0,0.0423,0.3807,10.0,4,4,0.0001,['limit_order'],TCNHUSDT,H,,,H-TCNH_USDT,active
BCHINR,INR,BCH,Bitcoin Cash,Indian Rupee,0.0001,40.0,6930.713333333333,62376.42,100.0,2,6,0.0001,['limit_order'],BCHINR,I,,,I-BCH_INR,active
DAVUSDT,USDT,DAV,Data Vital,Tether,1.0,289687137.0,0.000144666666666667,0.001302,10.0,6,4,0.0001,['limit_order'],DAVUSDT,H,,,H-DAV_USDT,active
COMBOUSDT,USDT,COMBO,COMBO,Tether,0.1,92141578.0,0.001,1000.0,10.0,3,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",COMBOUSDT,B,,,B-COMBO_USDT,active
GALAINR,INR,GALA,Gala,Indian Rupee,0.01,10000000.0,0.7,6.3,100.0,2,0,0.01,"['market_order', 'limit_order']",GALAINR,I,,,I-GALA_INR,active
DFAUSDT,USDT,DFA,DeFine,Tether,0.1,9999999.0,0.007896666666666666,0.07107,1e-06,5,4,0.0001,"['market_order', 'limit_order']",DFAUSDT,KC,,,KC-DFA_USDT,active
WBTUSDT,USDT,WBT,WhiteBIT Token,Tether,0.01,308641.0,1.7992,16.1928,10.0,4,4,0.0001,['limit_order'],WBTUSDT,H,,,H-WBT_USDT,active
COMBOBNB,BNB,COMBO,COMBO,Binance Coin,0.1,92141578.0,1e-06,1000.0,0.1,6,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",COMBOBNB,B,,,B-COMBO_BNB,active
WINGBTC,BTC,WING,Wing Token,Bitcoin,0.01,10000000.0,4.58e-05,0.001145,0.0001,7,2,0.01,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",WINGBTC,B,2.0,0.0,B-WING_BTC,active
XRPETH,ETH,XRP,Ripple,Ethereum,1.0,90000000.0,5.442e-05,0.0013605,0.005,7,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XRPETH,B,4.0,0.0,B-XRP_ETH,active
APEDUSDT,USDT,APED,APED,Tether,0.01,294117.0,0.08606666666666667,0.7746,10.0,4,4,0.0001,['limit_order'],APEDUSDT,H,,,H-APED_USDT,active
DORAUSDT,USDT,DORA,Dora Factory,Tether,0.1,10000000.0,0.009033333333333332,0.0813,10.0,4,4,0.0001,['limit_order'],DORAUSDT,H,,,H-DORA_USDT,active
FNSAUSDT,USDT,FNSA,FINSCHIA,Tether,0.001,34129.0,10.371966666666667,93.3477,10.0,4,4,0.0001,['limit_order'],FNSAUSDT,H,,,H-FNSA_USDT,active
NEXTUSDT,USDT,NEXT,Connext Network,Tether,0.1,4000000.0,0.0188,0.1692,10.0,4,4,0.0001,['limit_order'],NEXTUSDT,H,,,H-NEXT_USDT,active
GFUSDT,USDT,GF,GuildFi,Tether,0.001,552486.0,0.026,0.234,10.0,4,4,0.0001,['limit_order'],GFUSDT,H,,,H-GF_USDT,active
XRPUSDT,USDT,XRP,Ripple,Tether,1.0,9222449.0,0.10074,2.5185,5.0,4,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XRPUSDT,B,15.0,0.0,B-XRP_USDT,active
SOULUSDT,USDT,SOUL,Soulsaver,Tether,0.1,10000000.0,0.007066666666666667,0.0636,10.0,4,4,0.0001,['limit_order'],SOULUSDT,H,,,H-SOUL_USDT,active
AIOZUSDT,USDT,AIOZ,AIOZ Network,Tether,0.01,5649717.0,0.006566666666666667,0.0591,10.0,4,4,0.0001,['limit_order'],AIOZUSDT,H,,,H-AIOZ_USDT,active
OCTUSDT,USDT,OCT,Octopus Network,Tether,0.01,1428163.0,0.0433,0.3897,10.0,4,4,0.0001,['limit_order'],OCTUSDT,H,,,H-OCT_USDT,active
HSFUSDT,USDT,HSF,Hillstone Finance,Tether,0.001,434216.0,0.2365,2.1285,10.0,4,4,0.0001,['limit_order'],HSFUSDT,H,,,H-HSF_USDT,active
XFIUSDT,USDT,XFI,CrossFi,Tether,0.01,831117.0,0.32726666666666665,2.9454,10.0,4,4,0.0001,['limit_order'],XFIUSDT,H,,,H-XFI_USDT,active
PRQUSDT,USDT,PRQ,PARSIQ,Tether,0.01,3163555.0,0.019133333333333332,0.1722,10.0,4,4,0.0001,['limit_order'],PRQUSDT,H,,,H-PRQ_USDT,active
SDUSDT,USDT,SD,Stader,Tether,0.001,222222.0,0.2633333333333333,2.37,10.0,4,4,0.0001,['limit_order'],SDUSDT,H,,,H-SD_USDT,active
PSTAKEUSDT,USDT,PSTAKE,pSTAKE Finance,Tether,0.01,2500000.0,0.0105,0.0945,10.0,4,4,0.0001,['limit_order'],PSTAKEUSDT,H,,,H-PSTAKE_USDT,active
ROCOUSDT,USDT,ROCO,ROCO FINANCE,Tether,0.01,1205690.0,0.025933333333333333,0.2334,10.0,4,4,0.0001,['limit_order'],ROCOUSDT,H,,,H-ROCO_USDT,active
XMRBTC,BTC,XMR,Monero,Bitcoin,0.001,10000000.0,0.0010704,0.02676,0.0001,6,3,0.001,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XMRBTC,B,5.0,0.0,B-XMR_BTC,active
XTZBTC,BTC,XTZ,Tezos,Bitcoin,0.1,90000000.0,7.32e-06,0.000183,0.0001,8,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XTZBTC,B,1.0,0.0,B-XTZ_BTC,active
FUDUSDT,USDT,FUD,FTX Users Debt,Tether,0.1,1000000.0,3.5941,32.3469,10.0,4,4,0.0001,['limit_order'],FUDUSDT,H,,,H-FUD_USDT,active
CTCUSDT,USDT,CTC,Creditcoin,Tether,0.01,2718868.0,0.0557,0.5013,10.0,4,4,0.0001,['limit_order'],CTCUSDT,H,,,H-CTC_USDT,active
CEEKUSDT,USDT,CEEK,CEEK VR,Tether,0.01,2352941.0,0.0164,0.1476,10.0,4,4,0.0001,['limit_order'],CEEKUSDT,H,,,H-CEEK_USDT,active
JUMBOUSDT,USDT,JUMBO,Jumbo Exchange,Tether,0.001,333544.0,0.029066666666666668,0.2616,10.0,4,4,0.0001,['limit_order'],JUMBOUSDT,H,,,H-JUMBO_USDT,active
XMRETH,ETH,XMR,Monero,Ethereum,0.001,9000000.0,0.01714,0.4285,0.005,5,3,0.001,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XMRETH,B,2.0,0.0,B-XMR_ETH,active
XVGETH,ETH,XVG,Verge,Ethereum,1.0,90000000.0,2.7e-07,6.75e-06,0.005,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",XVGETH,B,1.0,0.0,B-XVG_ETH,active
METISUSDT,USDT,METIS,MetisDAO,Tether,0.001,29180.0,6.6297,59.6673,10.0,4,4,0.0001,['limit_order'],METISUSDT,H,,,H-METIS_USDT,active
POLCUSDT,USDT,POLC,Polkacity,Tether,0.01,3478260.0,0.004125,0.037125,10.0,6,4,0.0001,['limit_order'],POLCUSDT,H,,,H-POLC_USDT,active
ANMLUSDT,USDT,ANML,Animal Concerts,Tether,1.0,222222222.0,6.9333333333333e-05,0.000624,10.0,6,4,0.0001,['limit_order'],ANMLUSDT,H,,,H-ANML_USDT,active
KUBEUSDT,USDT,KUBE,KubeCoin,Tether,0.01,3846153.0,0.002013333333333333,0.01812,10.0,6,4,0.0001,['limit_order'],KUBEUSDT,H,,,H-KUBE_USDT,active
FRONTUSDT,USDT,FRONT,Frontier,Tether,0.1,12500000.0,0.110242,0.992178,10.0,6,4,0.0001,['limit_order'],FRONTUSDT,H,,,H-FRONT_USDT,active
UNQUSDT,USDT,UNQ,Unique Network,Tether,0.1,4000000.0,0.001263,0.011367,10.0,6,4,0.0001,['limit_order'],UNQUSDT,H,,,H-UNQ_USDT,active
FCT2USDT,USDT,FCT2,FirmaChain,Tether,1.0,21459227.0,0.02266666666666667,0.204,10.0,6,2,0.01,['limit_order'],FCT2USDT,H,,,H-FCT2_USDT,active
SOLOUSDT,USDT,SOLO,Sologenic,Tether,0.01,4803073.0,0.041126666666666666,0.37014,10.0,5,4,0.0001,['limit_order'],SOLOUSDT,H,,,H-SOLO_USDT,active
VLXUSDT,USDT,VLX,Velas,Tether,0.1,11702750.0,0.003026,0.027234,10.0,6,4,0.0001,['limit_order'],VLXUSDT,H,,,H-VLX_USDT,active
RDNTUSDT,USDT,RDNT,Radiant Capital,Tether,1.0,92141578.0,0.0001,1000.0,10.0,4,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",RDNTUSDT,B,,,B-RDNT_USDT,active
MRSUSDT,USDT,MRS,Metars Genesis,Tether,0.1,2000000.0,0.3501666666666667,3.1515,10.0,4,4,0.0001,['limit_order'],MRSUSDT,H,,,H-MRS_USDT,active
YFIBTC,BTC,YFI,yearn.finance,Bitcoin,1e-05,9000.0,0.06104,1.526,0.0001,4,5,1e-05,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",YFIBTC,B,4.0,0.0,B-YFI_BTC,active
BLURUSDT,USDT,BLUR,Blur,Tether,0.1,1000000.0,0.142,1.278,10.0,4,4,0.0001,['limit_order'],BLURUSDT,H,,,H-BLUR_USDT,active
EULUSDT,USDT,EUL,Euler Finance,Tether,0.0001,72516.0,0.9554666666666667,8.5992,10.0,4,4,0.0001,['limit_order'],EULUSDT,H,,,H-EUL_USDT,active
ERGUSDT,USDT,ERG,Ergo,Tether,0.01,312500.0,0.35356666666666664,3.1821,10.0,4,4,0.0001,['limit_order'],ERGUSDT,H,,,H-ERG_USDT,active
LUNRUSDT,USDT,LUNR,Lunr Token,Tether,0.01,1609787.0,0.018466666666666666,0.1662,10.0,4,4,0.0001,['limit_order'],LUNRUSDT,H,,,H-LUNR_USDT,active
ZELIXUSDT,USDT,ZELIX,ZELIX,Tether,1.0,472589792.0,8.0766666666667e-05,0.0007269,10.0,7,4,0.0001,['limit_order'],ZELIXUSDT,H,,,H-ZELIX_USDT,active
VELOUSDT,USDT,VELO,Velo,Tether,0.1,41753740.0,0.001124,0.010116,10.0,6,4,0.0001,['limit_order'],VELOUSDT,H,,,H-VELO_USDT,active
FDTUSDT,USDT,FDT,Frutti Dino,Tether,0.1,1428571.0,0.004883333333333333,0.04395,10.0,5,4,0.0001,['limit_order'],FDTUSDT,H,,,H-FDT_USDT,active
CGPTUSDT,USDT,CGPT,ChainGPT,Tether,1.0,23046784.0,0.01704666666666667,0.15342,10.0,5,2,0.01,['limit_order'],CGPTUSDT,H,,,H-CGPT_USDT,active
LCXINR,INR,LCX,LCX,Indian Rupee,1e-05,100000000.0,1.3233333333333333,11.91,100.0,2,0,1.0,['limit_order'],LCXINR,I,,,I-LCX_INR,active
ABBCUSDT,USDT,ABBC,ABBC Coin,Tether,0.01,5757052.0,0.010756666666666668,0.09681,10.0,5,4,0.0001,['limit_order'],ABBCUSDT,H,,,H-ABBC_USDT,active
ACTUSDT,USDT,ACT,Achain,Tether,0.1,100000000.0,0.000432,0.003888,10.0,6,2,0.01,['limit_order'],ACTUSDT,H,,,H-ACT_USDT,active
SPUMEUSDT,USDT,SPUME,Spume Protocol,Tether,0.1,2000000.0,0.000493333333333333,0.00444,10.0,7,4,0.0001,['limit_order'],SPUMEUSDT,H,,,H-SPUME_USDT,active
PANDOUSDT,USDT,PANDO,Pando,Tether,0.1,35612535.0,0.000828333333333333,0.007455,10.0,6,4,0.0001,['limit_order'],PANDOUSDT,H,,,H-PANDO_USDT,active
YFIUSDT,USDT,YFI,yearn.finance,Tether,1e-05,9000.0,1829.4,45735.0,10.0,0,5,1e-05,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",YFIUSDT,B,2.0,0.0,B-YFI_USDT,active
TITANUSDT,USDT,TITAN,TitanSwap,Tether,0.1,99999999.0,0.00594,0.05346,1e-06,5,4,0.0001,"['market_order', 'limit_order']",TITANUSDT,KC,,,KC-TITAN_USDT,active
TURBOUSDT,USDT,TURBO,Turbo,Tether,1.0,1697792869.0,4.625e-05,0.00041625,10.0,8,2,0.01,['limit_order'],TURBOUSDT,H,,,H-TURBO_USDT,active
COREUSDT,USDT,CORE,Core DAO,Tether,1.0,1000000000.0,0.18815433333333334,1.693389,10.0,6,4,0.0001,['limit_order'],COREUSDT,H,,,H-CORE_USDT,active
REVOUSDT,USDT,REVO,REVOLAND TOKEN,Tether,0.01,1666666.0,0.082463,0.742167,10.0,6,4,0.0001,['limit_order'],REVOUSDT,H,,,H-REVO_USDT,active
WOOFUSDT,USDT,WOOF,WoofWork.io,Tether,1.0,841630406.0,8.7333333333333e-05,0.000786,10.0,7,4,0.0001,['limit_order'],WOOFUSDT,H,,,H-WOOF_USDT,active
TENETUSDT,USDT,TENET,TENET,Tether,1.0,50000000.0,0.03663333333333333,0.3297,10.0,6,4,0.0001,['limit_order'],TENETUSDT,H,,,H-TENET_USDT,active
BSVBTC,BTC,BSV,Bitcoin SV,Bitcoin,0.001,5000.0,0.000441666666666667,0.003975,0.0001,6,4,0.0001,['limit_order'],BSVBTC,H,,,H-BSV_BTC,active
WPCIUSDT,USDT,WPCI,Paycoin,Tether,0.01,1214181.0,0.0122,0.1098,10.0,4,4,0.0001,['limit_order'],WPCIUSDT,H,,,H-WPCI_USDT,active
FSNUSDT,USDT,FSN,Fusion,Tether,0.01,900000.0,0.07583333333333334,0.6825,10.0,4,4,0.0001,['limit_order'],FSNUSDT,H,,,H-FSN_USDT,active
BLDUSDT,USDT,BLD,AGORIC,Tether,0.1,1538461.0,0.04763333333333333,0.4287,10.0,4,4,0.0001,['limit_order'],BLDUSDT,H,,,H-BLD_USDT,active
ARVUSDT,USDT,ARV,Ariva,Tether,1.0,2864508736.0,1.4163333333333e-05,0.00012747,10.0,8,2,0.01,['limit_order'],ARVUSDT,H,,,H-ARV_USDT,active
NPTUSDT,USDT,NPT,Neopin,Tether,0.001,142857.0,0.1758,1.5822,10.0,4,4,0.0001,['limit_order'],NPTUSDT,H,,,H-NPT_USDT,active
RANKERUSDT,USDT,RANKER,RankerDAO,Tether,0.1,20000000.0,0.000543333333333333,0.00489,10.0,6,4,0.0001,['limit_order'],RANKERUSDT,H,,,H-RANKER_USDT,active
MCRTUSDT,USDT,MCRT,MagicCraft,Tether,1.0,82781456.0,0.000492,0.004428,10.0,6,4,0.0001,['limit_order'],MCRTUSDT,H,,,H-MCRT_USDT,active
GRTBTC,BTC,GRT,The Graph,Bitcoin,1.0,90000000.0,9.6e-07,2.4e-05,0.0001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",GRTBTC,B,2.0,0.0,B-GRT_BTC,active
YGGUSDT,USDT,YGG,Yield Guild Games,Tether,0.1,92141578.0,0.05348,1.337,10.0,4,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",YGGUSDT,B,1.0,0.0,B-YGG_USDT,active
XCNUSDT,USDT,XCN,Onyxcoin,Tether,0.1,10949304.0,0.000304333333333333,0.002739,10.0,6,4,0.0001,['limit_order'],XCNUSDT,H,,,H-XCN_USDT,active
STETHUSDT,USDT,STETH,Lido Staked ETH,Tether,0.0001,865.0,678.7366666666667,6108.63,10.0,2,4,0.0001,['limit_order'],STETHUSDT,H,,,H-STETH_USDT,active
GQUSDT,USDT,GQ,Outer Ring MMO,Tether,0.1,16035920.0,0.000869666666666667,0.007827,10.0,6,4,0.0001,['limit_order'],GQUSDT,H,,,H-GQ_USDT,active
STARLYUSDT,USDT,STARLY,Starly,Tether,0.01,1250000.0,0.001189333333333333,0.010704,10.0,6,4,0.0001,['limit_order'],STARLYUSDT,H,,,H-STARLY_USDT,active
ADPUSDT,USDT,ADP,Adappter Token,Tether,0.1,57537399.0,0.000544,0.004896,10.0,6,4,0.0001,['limit_order'],ADPUSDT,H,,,H-ADP_USDT,active
SHILLUSDT,USDT,SHILL,SHILL Token,Tether,0.1,99999999.0,0.002056666666666667,0.01851,1e-06,5,4,0.0001,"['market_order', 'limit_order']",SHILLUSDT,KC,,,KC-SHILL_USDT,active
SDAOUSDT,USDT,SDAO,SingularityDAO,Tether,0.01,781250.0,0.2114,1.9026,10.0,4,4,0.0001,['limit_order'],SDAOUSDT,H,,,H-SDAO_USDT,active
EVMOSUSDT,USDT,EVMOS,Evmos,Tether,0.001,490196.0,0.0269,0.2421,10.0,4,4,0.0001,['limit_order'],EVMOSUSDT,H,,,H-EVMOS_USDT,active
SFUNDUSDT,USDT,SFUND,Seedify.fund,Tether,0.001,602409.0,0.4731666666666667,4.2585,10.0,4,4,0.0001,['limit_order'],SFUNDUSDT,H,,,H-SFUND_USDT,active
BOSONUSDT,USDT,BOSON,Boson Protocol,Tether,0.01,1576292.0,0.0668,0.6012,10.0,4,4,0.0001,['limit_order'],BOSONUSDT,H,,,H-BOSON_USDT,active
HOTCROSSUSDT,USDT,HOTCROSS,Hot Cross,Tether,0.01,5730659.0,0.001036666666666667,0.00933,10.0,5,4,0.0001,['limit_order'],HOTCROSSUSDT,H,,,H-HOTCROSS_USDT,active
STRMUSDT,USDT,STRM,StreamCoin,Tether,0.01,1111111.0,0.001066666666666667,0.0096,10.0,5,4,0.0001,['limit_order'],STRMUSDT,H,,,H-STRM_USDT,active
RSRUSDT,USDT,RSR,Reserve Rights,Tether,0.1,9000000.0,1e-06,1000.0,10.0,6,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",RSRUSDT,B,,,B-RSR_USDT,active
ELAUSDT,USDT,ELA,Elastos,Tether,0.01,10000.0,0.3924,3.5316,10.0,4,2,0.01,['limit_order'],ELAUSDT,H,,,H-ELA_USDT,active
NTUSDT,USDT,NT,Nextype,Tether,0.01,9319664.0,0.000862333333333333,0.007761,10.0,6,4,0.0001,['limit_order'],NTUSDT,H,,,H-NT_USDT,active
SAOUSDT,USDT,SAO,Sator,Tether,0.1,45808520.0,0.000451,0.004059,10.0,6,4,0.0001,['limit_order'],SAOUSDT,H,,,H-SAO_USDT,active
HECUSDT,USDT,HEC,Heroes Chained,Tether,0.001,400000.0,0.008713333333333333,0.07842,10.0,5,4,0.0001,['limit_order'],HECUSDT,H,,,H-HEC_USDT,active
REVVUSDT,USDT,REVV,REVV,Tether,0.1,11920371.0,0.003916333333333333,0.035247,10.0,6,4,0.0001,['limit_order'],REVVUSDT,H,,,H-REVV_USDT,active
XDCUSDT,USDT,XDC,XDC Network,Tether,0.1,36813009.0,0.018336,0.165024,10.0,6,4,0.0001,['limit_order'],XDCUSDT,H,,,H-XDC_USDT,active
MGGUSDT,USDT,MGG,MetaGaming Guild,Tether,0.1,12500000.0,0.000537333333333333,0.004836,10.0,6,4,0.0001,['limit_order'],MGGUSDT,H,,,H-MGG_USDT,active
VEMPUSDT,USDT,VEMP,vEmpire DDAO,Tether,0.01,8984725.0,0.002109333333333333,0.018984,10.0,6,3,0.001,['limit_order'],VEMPUSDT,H,,,H-VEMP_USDT,active
FLOKIUSDT,USDT,FLOKI,Floki Inu,Tether,1.0,26968716289.0,1.105e-05,9.945e-05,10.0,8,2,0.01,['limit_order'],FLOKIUSDT,H,,,H-FLOKI_USDT,active
ORBSUSDT,USDT,ORBS,Orbs Network,Tether,1.0,25471217.0,0.014968666666666667,0.134718,10.0,6,4,0.0001,['limit_order'],ORBSUSDT,H,,,H-ORBS_USDT,active
FORUSDT,USDT,FOR,The Force Protocol,Tether,1.0,30000000.0,0.006894,0.062046,10.0,6,2,0.01,['limit_order'],FORUSDT,H,,,H-FOR_USDT,active
SPSUSDT,USDT,SPS,Splintershards,Tether,1.0,16880486.0,0.005403,0.048627,10.0,6,4,0.0001,['limit_order'],SPSUSDT,H,,,H-SPS_USDT,active
CHZINR,INR,CHZ,Chiliz,Indian Rupee,1.0,80000.0,2.35,21.15,100.0,2,0,1.0,['limit_order'],CHZINR,I,,,I-CHZ_INR,active
XDCINR,INR,XDC,XDC Network,Indian Rupee,0.001,10000000.0,1.5233333333333334,13.71,100.0,3,4,0.01,['limit_order'],XDCINR,I,,,I-XDC_INR,active
ARBETH,ETH,ARB,Arbitrum,Ethereum,0.1,92141578.0,1e-07,1000.0,0.01,7,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",ARBETH,B,,,B-ARB_ETH,active
ELONUSDT,USDT,ELON,Dogelon Mars,Tether,1.0,826446280991.0,5.6666666667e-08,5.1e-07,10.0,9,2,0.01,['limit_order'],ELONUSDT,H,,,H-ELON_USDT,active
WIFIUSDT,USDT,WIFI,WiFi Map,Tether,1.0,18914318.0,0.011142,0.100278,10.0,6,4,0.0001,['limit_order'],WIFIUSDT,H,,,H-WIFI_USDT,active
RAINUSDT,USDT,RAIN,Rainmaker Games,Tether,0.001,1000000.0,0.0003804,0.0034236,10.0,7,4,0.0001,['limit_order'],RAINUSDT,H,,,H-RAIN_USDT,active
MINEUSDT,USDT,MINE,SpaceMine,Tether,1.0,23934897.0,0.000105,0.000945,10.0,6,4,0.0001,['limit_order'],MINEUSDT,H,,,H-MINE_USDT,active
LAIUSDT,USDT,LAI,LayerAI,Tether,0.1,9216589.0,0.003068666666666667,0.027618,10.0,6,4,0.0001,['limit_order'],LAIUSDT,H,,,H-LAI_USDT,active
ELUUSDT,USDT,ELU,Elumia Crowns,Tether,0.1,20000000.0,0.001267,0.011403,10.0,6,4,0.0001,['limit_order'],ELUUSDT,H,,,H-ELU_USDT,active
HAOUSDT,USDT,HAO,HistoryDAO,Tether,1.0,200000000.0,0.000550333333333333,0.004953,10.0,6,4,0.0001,['limit_order'],HAOUSDT,H,,,H-HAO_USDT,active
BERRYUSDT,USDT,BERRY,Berry,Tether,1.0,481695568.0,0.000116666666666667,0.00105,10.0,6,4,0.0001,['limit_order'],BERRYUSDT,H,,,H-BERRY_USDT,active
KAIUSDT,USDT,KAI,KardiaChain,Tether,0.1,31525851.0,0.001753,0.015777,10.0,6,4,0.0001,['limit_order'],KAIUSDT,H,,,H-KAI_USDT,active
TAVAUSDT,USDT,TAVA,ALTAVA,Tether,0.001,260000.0,0.017006666666666666,0.15306,10.0,5,4,0.0001,['limit_order'],TAVAUSDT,H,,,H-TAVA_USDT,active
ARKMBTC,BTC,ARKM,Arkham,Bitcoin,1.0,92141578.0,1e-08,1000.0,0.001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",ARKMBTC,B,,,B-ARKM_BTC,active
TIAUSDT,USDT,TIA,Celestia,Tether,0.1,92141578.0,0.0001,1000.0,10.0,4,1,0.1,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",TIAUSDT,B,,,B-TIA_USDT,active
MAPUSDT,USDT,MAP,MAP Protocol,Tether,0.1,99999999.0,0.002663333333333333,0.02397,1e-06,5,4,0.0001,"['market_order', 'limit_order']",MAPUSDT,KC,,,KC-MAP_USDT,active
